YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 10 00 278  8.7 10.8  1.07  6.67  4.16 999 1002.6  -1.4   4.8  -7.4 99.0 99.00
2001 01 10 01 261  9.5 11.7  1.02  3.33  4.09 999 1002.3  -1.6   4.8  -7.6 99.0 99.00
2001 01 10 02 271 10.0 12.1  1.10  3.85  4.04 999 1001.7  -2.2   4.8  -7.8 99.0 99.00
2001 01 10 03 270 10.7 13.9  1.08  4.00  3.96 999 1001.5  -2.7   4.7  -8.4 99.0 99.00
2001 01 10 04 265  9.4 11.7  1.01  3.70  3.88 999 1001.5  -3.0   4.7  -9.3 99.0 99.00
2001 01 10 05 270 11.8 14.2  1.11  3.70  3.71 999 1000.7  -3.2   4.7  -9.8 99.0 99.00
2001 01 10 06 256  9.5 11.6  1.15  4.00  3.71 999 1000.1  -3.5   4.7  -9.9 99.0 99.00
2001 01 10 07 282 11.4 14.3  0.97  3.85  3.56 999 1000.4  -3.9   4.7  -9.1 99.0 99.00
2001 01 10 08 290 13.1 15.7  1.06  3.85  3.60 999 1000.5  -4.5   4.7  -9.3 99.0 99.00
2001 01 10 09 315 13.1 15.7  1.28  4.00  3.73 999 1001.6  -5.3   4.7  -9.6 99.0 99.00
2001 01 10 10 310 15.6 20.5  1.52  4.55  4.00 999 1002.5  -6.4   4.7 -12.7 99.0 99.00
2001 01 10 11 308 14.9 18.4  1.59  5.00  4.17 999 1004.8  -7.8   4.7 -12.8 99.0 99.00
2001 01 10 12 310 12.2 15.3  1.41  4.76  4.06 999 1007.0  -8.9   4.7 -13.8 99.0 99.00
